CIK,Filing Year,Filing Date,Reporting Date,RFDTitle
0000001750,2016,,,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
0000001750,2016,,,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
0000001750,2016,,,We are exposed to risks associated with operating internationally.
0000001750,2016,,,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
0000001750,2016,,,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
0000001750,2016,,,Our business could be negatively affected by cyber or other security threats or other disruptions.
0000001750,2016,,,We may need to reduce the carrying value of our assets.
0000001750,2016,,,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
0000001750,2016,,,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
0000001750,2016,,,Our operations would be adversely affected by a shortage of skilled personnel or work stoppages.
0000001750,2016,,,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
0000001800,2017,,,Indicate by check mark if the registrant is not required to file reports pursuant to Section 13 or 15(d) of the Act.
0000001800,2017,,,The expiration or loss of patent protection and licenses may affect Abbott's future revenues and operating income.
0000001800,2017,,,Abbott is subject to numerous governmental regulations and it can be costly to comply with these regulations and to develop compliant products and processes.
0000001800,2017,,,Abbott is subject to cost containment efforts that could cause a reduction in future revenues and operating income.
0000001800,2017,,,Deterioration in the economic condition and credit quality of certain countries may negatively affect Abbott's results of operations.
0000001800,2017,,,"Portions of the 2018 Abbott Laboratories Proxy Statement are incorporated by reference into Part III. The Proxy Statement will be filed on or about March 16, 2018."
0000001800,2017,,,"Abbott's research and development efforts may not succeed in developing commercially successful products and technologies, which may cause Abbott's revenue and profitability to decline."
0000001800,2017,,,The international nature of Abbott's business subjects it to additional business risks that may cause its revenue and profitability to decline.
0000001800,2017,,,Competitors' intellectual property may prevent Abbott from selling its products or have a material adverse effect on Abbott's future profitability and financial condition.
0000001800,2017,,,New products and technological advances by Abbott's competitors may negatively affect Abbott's results of operations.
0000001800,2017,,,Fluctuation in foreign currency exchange rates may adversely affect our financial statements and Abbott's ability to realize projected sales and earnings.
0000001800,2017,,,"Indicate by check mark if the registrant is a well-known seasoned issuer, as defined in Rule 405 of the Securities Act."
0000001800,2017,,,Other factors can have a material adverse effect on Abbott's future profitability and financial condition.
0000001800,2017,,,"Significant safety concerns could arise for Abbott's products, which could have a material adverse effect on Abbott's revenues and financial condition."
0000001800,2017,,,Abbott depends on sophisticated information technology systems and a cyber attack or other breach of these systems could have a material adverse effect on Abbott's results of operations.
0000001800,2017,,,Changes in the health care regulatory environment may adversely affect Abbott's business.
0000003116,2015,,,Akorn AG (formerly Excelvision AG).
0000003116,2015,,,We may issue preferred stock and the terms of such preferred stock may reduce the market value of our common stock.
0000003116,2015,,,"We depend on a small number of wholesalers to distribute our products, the loss of any of which could have a material adverse effect on our business."
0000003116,2015,,,Research and development expertise in alternative dosage forms.
0000003116,2015,,,Healthcare Fraud and Abuse Laws.
0000003116,2015,,,We may not generate cash flow sufficient to pay interest and make required principal repayments on our Term Loans.
0000003116,2015,,,Recovery of Bonuses in Connection with the Restatement.
0000003116,2015,,,"The FDA may require us to stop marketing certain unapproved drugs, which could have a material adverse effect on our business, financial position and results of operation."
0000003116,2015,,,"The FDA may authorize sales of some prescription pharmaceuticals on a non-prescription basis, which may reduce the profitability of our prescription products."
0000003116,2015,,,Targeted sales and marketing infrastructure.
0000003116,2015,,,Changes in healthcare law and policy changes may adversely affect our business plans and results of operations.
0000003116,2015,,,"Charges to earnings resulting from acquisitions could have a material adverse effect on our business, financial position and results of operations."
0000003116,2015,,,"Exercise of options and granting of restricted stock units, may have a substantial dilutive effect on our common stock."
0000003116,2015,,,Alternative dosage form manufacturing expertise.
0000003116,2015,,,Our indebtedness reduces our financial and operating flexibility.
0000003116,2015,,,"We could experience business interruptions at our manufacturing facilities, which may have a material adverse effect on our business, financial position and results of operations."
0000003116,2015,,,Third parties may claim that we infringe their proprietary rights and may prevent or delay us from manufacturing and selling some of our new products.
0000003116,2015,,,We may be subject to significant disruptions or failures in our information technology systems and network infrastructures that could have a material adverse effect on our business.
0000003116,2015,,,"Many of the raw materials and components used in our products come from a single source, the loss of any of which could have a material adverse effect on our business."
0000003116,2015,,,We may need to obtain additional capital to continue to grow our business.
0000003116,2015,,,Management’s attention and focus has been on the restatement of 2014 financial information and the remediation of our failure to file periodic reports timely which has reduced focus on operations.
0000003116,2015,,,"Established portfolio of generic, branded, OTC and animal health products."
0000003116,2015,,,"One of our credit ratings was downgraded in November of 2015, which could adversely affect our access to liquidity, working capital, and financing in the future, and could increase financing costs."
0000003116,2015,,,"Any failure to comply with the complex reporting and payment obligations under Medicare, Medicaid and other government programs may result in litigation or sanctions."
0000003116,2015,,,Our branded products may become subject to increased generic competition.
0000003116,2015,,,Our growth depends on our ability to timely and efficiently develop and successfully launch and market new pharmaceutical products ahead of our competitors.
0000003116,2015,,,Changes in technology could render our products obsolete.
0000005768,2009,,,Our insurance may be insufficient to protect us from product liability claims.
0000005768,2009,,,Our business could be harmed if we are unable to protect our intellectual property.
0000005768,2009,,,Changes in governmental regulations may reduce demand for our products or increase our expenses.
0000005768,2009,,,Fluctuations in our operating results and unanticipated contract terminations may cause our stock price to fluctuate.
0000005768,2009,,,Our business may be materially and adversely affected by infringement claims initiated by us or our competitors.
0000005768,2009,,,Our results of operations are affected by the overall economy and governmental spending.
0000005768,2009,,,Our business is dependent upon governmental policies and appropriations.
0000005768,2009,,,Our success depends upon our ability to adapt to rapid changes in technology and customer requirements.
0000005768,2009,,,Future sales of our common stock by existing stockholders could depress the market price of our common stock.
0000005768,2009,,,"to obtain U.S. government authorization regarding the export of our products, or if current or future export laws limit or otherwise restrict our business."
0000005768,2009,,,Existing external financing may not be available in the future.
0000005768,2009,,,Our lengthy sales cycle requires us to incur significant expenses with no assurance that we will generate revenue or recover such expenses.
0000005768,2009,,,Our success depends on new product development.
0000005768,2009,,,"We use estimates in recognizing revenues and if we make changes to estimates used in recognizing revenues, our profitability may be adversely affected."
0000005768,2009,,,"We rely significantly on information technology and any failure, inadequacy, interruption or security lapse of that technology could harm our ability to effectively operate our business."
0000005768,2009,,,Our success depends on our ability to attract and retain qualified management professionals.
0000005768,2009,,,We may not be able to compete successfully.
0000005768,2009,,,We may not be able to fund our research and development activities.
0000005768,2009,,,The volatility of our stock price could adversely affect an investment in our common stock.
0000005768,2008,,,Existing external financing may not be available in the future.
0000005768,2007,2008-04-18,,Existing external financing may not be available in the future.
0000006720,2007,2007-03-16,,Changes in currency exchange rates could affect K2’s revenues.
0000006720,2007,2007-03-16,,"K2’s financial results vary from quarter to quarter, which could hurt K2’s business and the market price of its stock."
0000006720,2007,2007-03-16,,Current and future financings may place a significant debt burden on K2.
0000006720,2007,2007-03-16,,K2 is subject to and may incur liabilities under various environmental laws.
0000006720,2007,2007-03-16,,"K2 faces intense competition and potential competition from companies with greater resources, and, if it is unable to compete effectively with these companies, its business could be harmed."
0000006720,2007,2007-03-16,,K2 may be required to recognize future intangible impairment charges.
0000006720,2007,2007-03-16,,"Significant price volatility or interruptions in supply of K2’s raw materials may result in increased costs that it may be unable to pass on to customers, which could reduce profitability."
0000006720,2007,2007-03-16,,Certain K2 businesses are highly seasonal and subject to the conditions of the sporting goods industry.
0000006720,2007,2007-03-16,,"K2’s success is dependent on its ability to protect its worldwide intellectual property rights, and K2’s inability to enforce these rights could harm its business."
0000006720,2007,2007-03-16,,Purchasing decisions made by a small number of large format sporting goods retailers can have a significant impact on K2’s results.
0000006720,2007,2007-03-16,,Unfavorable weather can adversely affect K2’s sales.
0000006720,2007,2007-03-16,,Acts of war or terrorism may have an adverse effect on K2’s business.
0000006720,2007,2007-03-16,,TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period from to .
0000006720,2007,2007-03-16,,"K2’s products may infringe the intellectual property rights of others, which may cause K2 to incur unexpected costs or prevent K2 from selling its products."
0000006720,2007,2007-03-16,,Changing consumer tastes and styles as well as adverse economic developments could harm K2’s business.
0000006720,2007,2007-03-16,,K2 is subject to and may incur liabilities under various tax laws.
0000006720,2007,2007-03-16,,"K2’s strategic plan, involving growth through the acquisition of other companies, may not succeed."
0000006720,2007,2007-03-16,,"K2’s variable rate indebtedness subjects it to interest rate risk, which could cause K2’s debt service obligations to increase significantly."
0000006720,2007,2007-03-16,,"International operations, unfavorable political developments, natural disasters and weak foreign economies may seriously harm K2’s financial condition."
0000006720,2006,2007-03-16,,Changes in currency exchange rates could affect K2’s revenues.
0000006720,2006,2007-03-16,,"K2’s financial results vary from quarter to quarter, which could hurt K2’s business and the market price of its stock."
0000006720,2006,2007-03-16,,Current and future financings may place a significant debt burden on K2.
0000006720,2006,2007-03-16,,K2 is subject to and may incur liabilities under various environmental laws.
0000006720,2006,2007-03-16,,"K2 faces intense competition and potential competition from companies with greater resources, and, if it is unable to compete effectively with these companies, its business could be harmed."
0000006720,2006,2007-03-16,,K2 may be required to recognize future intangible impairment charges.
0000006720,2006,2007-03-16,,"Significant price volatility or interruptions in supply of K2’s raw materials may result in increased costs that it may be unable to pass on to customers, which could reduce profitability."
0000006720,2006,2007-03-16,,Certain K2 businesses are highly seasonal and subject to the conditions of the sporting goods industry.
0000006720,2006,2007-03-16,,"K2’s success is dependent on its ability to protect its worldwide intellectual property rights, and K2’s inability to enforce these rights could harm its business."
0000006720,2006,2007-03-16,,Purchasing decisions made by a small number of large format sporting goods retailers can have a significant impact on K2’s results.
0000006720,2006,2007-03-16,,Unfavorable weather can adversely affect K2’s sales.
0000006720,2006,2007-03-16,,Acts of war or terrorism may have an adverse effect on K2’s business.
0000006720,2006,2007-03-16,,TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period from to .
0000006720,2006,2007-03-16,,"K2’s products may infringe the intellectual property rights of others, which may cause K2 to incur unexpected costs or prevent K2 from selling its products."
0000006720,2006,2007-03-16,,Changing consumer tastes and styles as well as adverse economic developments could harm K2’s business.
0000006720,2006,2007-03-16,,K2 is subject to and may incur liabilities under various tax laws.
0000006720,2006,2007-03-16,,"K2’s strategic plan, involving growth through the acquisition of other companies, may not succeed."
0000006720,2006,2007-03-16,,"K2’s variable rate indebtedness subjects it to interest rate risk, which could cause K2’s debt service obligations to increase significantly."
0000006720,2006,2007-03-16,,"International operations, unfavorable political developments, natural disasters and weak foreign economies may seriously harm K2’s financial condition."
0000006720,2005,2006-03-16,,K2 may be required to recognize future intangible impairment charges.
0000006720,2005,2006-03-16,,Changes in currency exchange rates could affect K2’s revenues.
0000006720,2005,2006-03-16,,"K2’s financial results vary from quarter to quarter, which could hurt K2’s business and the market price of its stock."
0000006720,2005,2006-03-16,,"Significant price volatility or interruptions in supply of K2’s raw materials may result in increased costs that it may be unable to pass on to customers, which could reduce profitability."
0000006720,2005,2006-03-16,,K2 is subject to and may incur liabilities under various tax laws.
0000006720,2005,2006-03-16,,Certain Relationships And Related Transactions.
0000006720,2005,2006-03-16,,"K2’s strategic plan, involving growth through the acquisition of other companies, may not succeed."
0000006720,2005,2006-03-16,,Purchasing decisions made by a small number of large format sporting goods retailers can have a significant impact on K2’s results.
0000006720,2005,2006-03-16,,Current and future financings may place a significant debt burden on K2.
0000006720,2005,2006-03-16,,K2 is subject to and may incur liabilities under various environmental laws.
0000006720,2005,2006-03-16,,"International operations, unfavorable political developments, natural disasters and weak foreign economies may seriously harm K2’s financial condition."
0000006720,2005,2006-03-16,,"K2 faces intense competition and potential competition from companies with greater resources, and, if it is unable to compete effectively with these companies, its business could be harmed."
0000006720,2005,2006-03-16,,Acts of war or terrorism may have an adverse effect on K2’s business.
0000006720,2005,2006-03-16,,Unfavorable weather can adversely affect K2’s sales.
0000006720,2005,2006-03-16,,Changing consumer tastes and styles as well as adverse economic developments could harm K2’s business.
