cik,filingyear,filingdate,reportingdate,rfdtitle
1750,2017,2017-07-12,2017-12-31,UNITED STATES SECURITIES AND EXCHANGE COMMISSION
1750,2017,2017-07-12,2017-12-31,"WASHINGTON, D.C. 20549"
1750,2017,2017-07-12,2017-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2017,2017-07-12,2017-12-31,"For the fiscal year ended May 31, 2017"
1750,2017,2017-07-12,2017-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2017,2017-07-12,2017-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2017,2017-07-12,2017-12-31,"For the fiscal year ended May 31, 2017"
1750,2017,2017-07-12,2017-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2017,2017-07-12,2017-12-31,Commission file number 1-6263
1750,2017,2017-07-12,2017-12-31,36-2334820
1750,2017,2017-07-12,2017-12-31,36-2334820
1750,2017,2017-07-12,2017-12-31,"One AAR Place, 1100 N. Wood Dale Road, Wood Dale, Illinois 60191"
1750,2017,2017-07-12,2017-12-31,(630) 227-2000
1750,2017,2017-07-12,2017-12-31,"Common Stock, $1.00 par value"
1750,2017,2017-07-12,2017-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2017,2017-07-12,2017-12-31,Common Stock Purchase Rights
1750,2017,2017-07-12,2017-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2017,2017-07-12,2017-12-31,"Common Stock, $1.00 par value"
1750,2017,2017-07-12,2017-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2017,2017-07-12,2017-12-31,Common Stock Purchase Rights
1750,2017,2017-07-12,2017-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2017,2017-07-12,2017-12-31,Documents Incorporated by Reference
1750,2017,2017-07-12,2017-12-31,TABLE OF CONTENTS
1750,2017,2017-07-12,2017-12-31,ITEM 1.    BUSINESS
1750,2017,2017-07-12,2017-12-31,Business Segments
1750,2017,2017-07-12,2017-12-31,Raw Materials
1750,2017,2017-07-12,2017-12-31,Terms of Sale
1750,2017,2017-07-12,2017-12-31,Sales to Government and Defense Customers
1750,2017,2017-07-12,2017-12-31,Government Regulation and Certificates
1750,2017,2017-07-12,2017-12-31,Competition
1750,2017,2017-07-12,2017-12-31,Available Information
1750,2017,2017-07-12,2017-12-31,ITEM 1A.    RISK FACTORS
1750,2017,2017-07-12,2017-12-31,We are affected by factors that adversely impact the commercial aviation industry.
1750,2017,2017-07-12,2017-12-31,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
1750,2017,2017-07-12,2017-12-31,We face risks of cost overruns and losses on fixed-price contracts.
1750,2017,2017-07-12,2017-12-31,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
1750,2017,2017-07-12,2017-12-31,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
1750,2017,2017-07-12,2017-12-31,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
1750,2017,2017-07-12,2017-12-31,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
1750,2017,2017-07-12,2017-12-31,A significant portion of our expeditionary airlift revenue is derived from providing expeditionary airlift services in Afghanistan.
1750,2017,2017-07-12,2017-12-31,We are exposed to risks associated with operating internationally.
1750,2017,2017-07-12,2017-12-31,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
1750,2017,2017-07-12,2017-12-31,"Market values for our aviation products fluctuate, and we may be unable to re-lease or sell aircraft and engines when their current leases expire."
1750,2017,2017-07-12,2017-12-31,We may need to reduce the carrying value of our assets.
1750,2017,2017-07-12,2017-12-31,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
1750,2017,2017-07-12,2017-12-31,Our existing debt includes restrictive and financial covenants.
1750,2017,2017-07-12,2017-12-31,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
1750,2017,2017-07-12,2017-12-31,Our business could be negatively affected by cyber or other security threats or other disruptions.
1750,2017,2017-07-12,2017-12-31,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
1750,2017,2017-07-12,2017-12-31,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
1750,2018,2018-07-11,2018-12-31,UNITED STATES SECURITIES AND EXCHANGE COMMISSION
1750,2018,2018-07-11,2018-12-31,"WASHINGTON, D.C. 20549"
1750,2018,2018-07-11,2018-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2018,2018-07-11,2018-12-31,"For the fiscal year ended May 31, 2018"
1750,2018,2018-07-11,2018-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2018,2018-07-11,2018-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2018,2018-07-11,2018-12-31,"For the fiscal year ended May 31, 2018"
1750,2018,2018-07-11,2018-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2018,2018-07-11,2018-12-31,Commission file number 1-6263
1750,2018,2018-07-11,2018-12-31,36-2334820
1750,2018,2018-07-11,2018-12-31,36-2334820
1750,2018,2018-07-11,2018-12-31,"One AAR Place, 1100 N. Wood Dale Road, Wood Dale, Illinois 60191"
1750,2018,2018-07-11,2018-12-31,(630) 227-2000
1750,2018,2018-07-11,2018-12-31,"Common Stock, $1.00 par value"
1750,2018,2018-07-11,2018-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2018,2018-07-11,2018-12-31,"Common Stock, $1.00 par value"
1750,2018,2018-07-11,2018-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2018,2018-07-11,2018-12-31,Documents Incorporated by Reference
1750,2018,2018-07-11,2018-12-31,TABLE OF CONTENTS
1750,2018,2018-07-11,2018-12-31,ITEM 1.    BUSINESS
1750,2018,2018-07-11,2018-12-31,Business Segments
1750,2018,2018-07-11,2018-12-31,Raw Materials
1750,2018,2018-07-11,2018-12-31,Terms of Sale
1750,2018,2018-07-11,2018-12-31,Sales to Government and Defense Customers
1750,2018,2018-07-11,2018-12-31,Government Regulation and Certificates
1750,2018,2018-07-11,2018-12-31,Competition
1750,2018,2018-07-11,2018-12-31,Available Information
1750,2018,2018-07-11,2018-12-31,ITEM 1A.    RISK FACTORS
1750,2018,2018-07-11,2018-12-31,We are affected by factors that adversely impact the commercial aviation industry.
1750,2018,2018-07-11,2018-12-31,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
1750,2018,2018-07-11,2018-12-31,We face risks of cost overruns and losses on fixed-price contracts.
1750,2018,2018-07-11,2018-12-31,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
1750,2018,2018-07-11,2018-12-31,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
1750,2018,2018-07-11,2018-12-31,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
1750,2018,2018-07-11,2018-12-31,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
1750,2018,2018-07-11,2018-12-31,We are exposed to risks associated with operating internationally.
1750,2018,2018-07-11,2018-12-31,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
1750,2018,2018-07-11,2018-12-31,"Market values for our aviation products fluctuate and we may be unable to recover our costs incurred on engines, rotable components and other aircraft parts."
1750,2018,2018-07-11,2018-12-31,We may need to reduce the carrying value of our assets.
1750,2018,2018-07-11,2018-12-31,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
1750,2018,2018-07-11,2018-12-31,Our existing debt includes restrictive and financial covenants.
1750,2018,2018-07-11,2018-12-31,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
1750,2018,2018-07-11,2018-12-31,Our business could be negatively affected by cyber or other security threats or other disruptions.
1750,2018,2018-07-11,2018-12-31,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
1750,2018,2018-07-11,2018-12-31,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
1750,2018,2018-07-11,2018-12-31,Our operations would be adversely affected by a shortage of skilled personnel or work stoppages.
1750,2018,2018-07-11,2018-12-31,ITEM 1B.    UNRESOLVED STAFF COMMENTS
1750,2018,2018-07-11,2018-12-31,ITEM 2.    PROPERTIES
1750,2018,2018-07-11,2018-12-31,ITEM 3.    LEGAL PROCEEDINGS
1750,2018,2018-07-11,2018-12-31,"DynCorp International LLC v. AAR Airlift Group, Inc."
320193,2016,2016-10-26,2016-12-31,NO RISK FACTORS FOUND
320193,2017,2017-11-03,2017-12-31,NO RISK FACTORS FOUND
320193,2018,2018-11-05,2018-12-31,NO RISK FACTORS FOUND
789019,2016,2016-07-28,2016-06-30,UNITED STATES
789019,2016,2016-07-28,2016-06-30,SECURITIES AND EXCHANGE COMMISSION
789019,2016,2016-07-28,2016-06-30,"Washington, D.C. 20549"
789019,2016,2016-07-28,2016-06-30,ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
789019,2016,2016-07-28,2016-06-30,"For the Fiscal Year Ended June 30, 2016"
789019,2016,2016-07-28,2016-06-30,TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
789019,2016,2016-07-28,2016-06-30,For the Transition Period From                  to
789019,2016,2016-07-28,2016-06-30,Commission File Number 001-37845
789019,2016,2016-07-28,2016-06-30,MICROSOFT CORPORATION
789019,2016,2016-07-28,2016-06-30,WASHINGTON
789019,2016,2016-07-28,2016-06-30,91-1144442
789019,2016,2016-07-28,2016-06-30,(STATE OF INCORPORATION)
789019,2016,2016-07-28,2016-06-30,(I.R.S. ID)
789019,2016,2016-07-28,2016-06-30,"ONE MICROSOFT WAY, REDMOND, WASHINGTON 98052-6399"
789019,2016,2016-07-28,2016-06-30,(425) 882-8080
789019,2016,2016-07-28,2016-06-30,www.microsoft.com/investor
789019,2016,2016-07-28,2016-06-30,"COMMON STOCK, $0.00000625 par value per share                                          NASDAQ"
789019,2016,2016-07-28,2016-06-30,DOCUMENTS INCORPORATED BY REFERENCE
789019,2016,2016-07-28,2016-06-30,UNITED STATES
789019,2016,2016-07-28,2016-06-30,SECURITIES AND EXCHANGE COMMISSION
789019,2016,2016-07-28,2016-06-30,"Washington, D.C. 20549"
789019,2016,2016-07-28,2016-06-30,ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
789019,2016,2016-07-28,2016-06-30,"For the Fiscal Year Ended June 30, 2016"
789019,2016,2016-07-28,2016-06-30,TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
789019,2016,2016-07-28,2016-06-30,For the Transition Period From                  to
789019,2016,2016-07-28,2016-06-30,Commission File Number 001-37845
789019,2016,2016-07-28,2016-06-30,MICROSOFT CORPORATION
789019,2016,2016-07-28,2016-06-30,"ONE MICROSOFT WAY, REDMOND, WASHINGTON 98052-6399"
789019,2016,2016-07-28,2016-06-30,(425) 882-8080
789019,2016,2016-07-28,2016-06-30,www.microsoft.com/investor
789019,2016,2016-07-28,2016-06-30,"COMMON STOCK, $0.00000625 par value per share                                          NASDAQ"
789019,2016,2016-07-28,2016-06-30,DOCUMENTS INCORPORATED BY REFERENCE
789019,2016,2016-07-28,2016-06-30,MICROSOFT CORPORATION
789019,2016,2016-07-28,2016-06-30,"For The Fiscal Year Ended June 30, 2016"
789019,2016,2016-07-28,2016-06-30,Note About Forward-Looking Statements
789019,2016,2016-07-28,2016-06-30,ITEM 1. BUSINESS
789019,2016,2016-07-28,2016-06-30,Our vision
789019,2016,2016-07-28,2016-06-30,What we offer
789019,2016,2016-07-28,2016-06-30,The ambitions that drive us
789019,2016,2016-07-28,2016-06-30,Productivity and Business Processes
789019,2016,2016-07-28,2016-06-30,Intelligent Cloud
789019,2016,2016-07-28,2016-06-30,More Personal Computing
789019,2016,2016-07-28,2016-06-30,"Product and Service Development, and Intellectual Property"
789019,2016,2016-07-28,2016-06-30,Investing in the Future
789019,2016,2016-07-28,2016-06-30,Distributors and Resellers
789019,2016,2016-07-28,2016-06-30,Customer Licensing Programs
789019,2016,2016-07-28,2016-06-30,Customer Licensing Programs  Online Services Only
789019,2016,2016-07-28,2016-06-30,Partner Programs
789019,2016,2016-07-28,2016-06-30,ITEM 1A. RISK FACTORS
789019,2016,2016-07-28,2016-06-30,"We face intense competition across all markets for our products and services, which may lead to lower revenue or operating margins."
789019,2017,2017-08-02,2017-06-30,NO RISK FACTORS FOUND
789019,2018,2018-08-03,2018-06-30,NO RISK FACTORS FOUND
1326801,2016,2016-01-28,2012-12-31,NO RISK FACTORS FOUND
1326801,2017,2017-02-03,2016-12-31,NO RISK FACTORS FOUND
1326801,2018,2018-02-01,2017-12-31,NO RISK FACTORS FOUND
1018724,2016,2016-01-29,2012-12-31,NO RISK FACTORS FOUND
1018724,2017,2017-02-10,2012-12-31,NO RISK FACTORS FOUND
1018724,2018,2018-02-02,2015-12-31,NO RISK FACTORS FOUND
1467858,2016,2016-02-03,2015-12-31,NO RISK FACTORS FOUND
1467858,2017,2017-02-07,2016-12-31,NO RISK FACTORS FOUND
1467858,2018,2018-02-06,2017-12-31,NO RISK FACTORS FOUND
320187,2016,2016-07-21,2010-05-31,NO RISK FACTORS FOUND
320187,2017,2017-07-20,2010-05-31,NO RISK FACTORS FOUND
1800,2016,2016-02-19,2016-12-31,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS
1800,2017,2017-02-17,2017-12-31,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS
1800,2018,2018-02-16,2018-12-31,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS
1318605,2016,2016-02-24,2015-12-31,NO RISK FACTORS FOUND
1318605,2017,2017-03-01,2016-12-31,NO RISK FACTORS FOUND
1318605,2018,2018-02-23,2017-12-31,NO RISK FACTORS FOUND
1031296,2016,2016-02-16,2013-12-31,NO RISK FACTORS FOUND
1031296,2017,2017-02-21,2016-12-31,NO RISK FACTORS FOUND
1031296,2018,2018-02-20,2017-12-31,NO RISK FACTORS FOUND
